Date,DateTime,Latitude,Longitude,Magnitude,Depth,Location
2023.08.01 09:28:37,2023-08-01 09:28:37,38.5392,39.4658,1.9,2.0,GOLARDI-(ELAZIG)
2023.08.01 09:54:40,2023-08-01 09:54:40,35.8355,31.59,2.2,9.6,AKDENIZ
2023.08.01 09:58:22,2023-08-01 09:58:22,35.0918,27.0738,2.9,11.4,GIRIT ADASI ACIKLARI (AKDENIZ)
2023.08.01 10:19:53,2023-08-01 10:19:53,39.573,29.3385,1.6,15.9,SAPCIDEDE-TAVSANLI (KUTAHYA)
2023.08.01 10:20:10,2023-08-01 10:20:10,38.3417,37.2362,1.9,10.2,EVCIHUYUK-ELBISTAN (KAHRAMANMARAS)
2023.08.01 10:45:29,2023-08-01 10:45:29,37.9872,37.302,1.7,8.9,BARIS-NURHAK (KAHRAMANMARAS)
2023.08.01 11:01:13,2023-08-01 11:01:13,36.2382,36.1878,2.4,10.1,GUZELBURC-(HATAY)
2023.08.01 11:47:48,2023-08-01 11:47:48,39.1955,40.4422,3.6,5.0,TOPAGACLAR-ADAKLI (BINGOL)
2023.08.01 11:50:48,2023-08-01 11:50:48,38.132,36.8567,1.7,18.0,KAMISCIK-GOKSUN (KAHRAMANMARAS)
2023.08.01 12:00:43,2023-08-01 12:00:43,38.2237,36.8938,2.2,6.4,ALIMPINAR-AFSIN (KAHRAMANMARAS)
2023.08.01 12:08:48,2023-08-01 12:08:48,37.495,37.2358,1.3,5.0,ARMUTLU-PAZARCIK (KAHRAMANMARAS)
2023.08.01 12:21:12,2023-08-01 12:21:12,36.2692,33.7365,1.0,0.0,AKDERE-SILIFKE (MERSIN)
2023.08.01 12:29:58,2023-08-01 12:29:58,38.6385,37.0362,1.6,4.7,GULDEDE-GURUN (SIVAS)
2023.08.01 12:44:40,2023-08-01 12:44:40,38.5487,37.2967,1.2,9.6,HORHOR-ELBISTAN (KAHRAMANMARAS)
2023.08.01 13:02:24,2023-08-01 13:02:24,38.742,37.2803,2.0,5.4,GURUN (SIVAS)
2023.08.01 13:11:19,2023-08-01 13:11:19,36.107,33.5403,1.7,0.0,YANISLI-GULNAR (MERSIN)
2023.08.01 14:02:09,2023-08-01 14:02:09,38.3925,38.964,1.1,7.2,TASLIYAYLA-SIVRICE (ELAZIG)
2023.08.01 14:05:50,2023-08-01 14:05:50,38.1298,38.0008,1.9,0.0,ESKIKOY-DOGANSEHIR (MALATYA)
2023.08.01 14:11:55,2023-08-01 14:11:55,37.6038,35.7862,1.7,4.3,KABAKTEPE-KOZAN (ADANA)
2023.08.01 14:14:02,2023-08-01 14:14:02,39.624,29.4257,1.5,0.0,TUNCBILEK-TAVSANLI (KUTAHYA)
2023.08.01 14:14:30,2023-08-01 14:14:30,37.646,35.8423,1.7,6.6,CAMDERE-KOZAN (ADANA)
2023.08.01 14:19:44,2023-08-01 14:19:44,38.3727,37.3273,1.6,5.0,INCECIK-ELBISTAN (KAHRAMANMARAS)
2023.08.01 14:44:10,2023-08-01 14:44:10,40.3887,27.2717,2.7,5.5,KARABIGA-BIGA (CANAKKALE)
2023.08.01 14:56:00,2023-08-01 14:56:00,37.8378,26.8795,2.5,5.0,SISAM ADASI (EGE DENIZI)
2023.08.01 15:10:47,2023-08-01 15:10:47,37.915,36.3233,1.7,4.9,HACIKODAL-GOKSUN (KAHRAMANMARAS)
2023.08.01 15:20:33,2023-08-01 15:20:33,38.4983,34.1828,2.1,1.0,YALNIZCEVIZ-(AKSARAY)
2023.08.01 15:29:48,2023-08-01 15:29:48,37.0228,28.9015,1.8,8.7,OTMANLAR-KOYCEGIZ (MUGLA)
2023.08.01 15:49:30,2023-08-01 15:49:30,39.2075,40.3822,2.4,6.4,HASBAGLAR-ADAKLI (BINGOL)
2023.08.01 15:57:54,2023-08-01 15:57:54,38.1245,37.3402,1.8,5.0,AKBAYIR-ELBISTAN (KAHRAMANMARAS)
2023.08.01 15:58:40,2023-08-01 15:58:40,38.3858,37.2422,1.7,5.1,GOKCEK-ELBISTAN (KAHRAMANMARAS)
2023.08.01 16:07:04,2023-08-01 16:07:04,38.4225,36.7898,2.6,4.7,INCIRLI-AFSIN (KAHRAMANMARAS)
2023.08.01 16:13:28,2023-08-01 16:13:28,38.0573,37.4558,1.7,9.6,SUNNETKOY-ELBISTAN (KAHRAMANMARAS)
2023.08.01 16:35:29,2023-08-01 16:35:29,38.5403,39.5453,2.3,9.0,KUCUKOVA-MADEN (ELAZIG)
2023.08.01 16:37:24,2023-08-01 16:37:24,37.1988,28.3135,1.3,22.2,AKKAYA-(MUGLA)
2023.08.01 16:42:07,2023-08-01 16:42:07,38.1263,37.4652,1.9,9.2,SUNNETKOY-ELBISTAN (KAHRAMANMARAS)
2023.08.01 16:47:44,2023-08-01 16:47:44,38.0882,37.4587,1.9,13.4,SUNNETKOY-ELBISTAN (KAHRAMANMARAS)
2023.08.01 17:19:06,2023-08-01 17:19:06,37.3132,37.0645,3.0,5.0,EMIROGLU-PAZARCIK (KAHRAMANMARAS)
2023.08.01 17:23:51,2023-08-01 17:23:51,39.0607,40.3295,2.1,5.0,KUSKONDU-(BINGOL)
2023.08.01 17:53:10,2023-08-01 17:53:10,38.416,37.3253,1.7,8.1,INCECIK-ELBISTAN (KAHRAMANMARAS)
2023.08.01 18:06:51,2023-08-01 18:06:51,38.133,32.5887,5.1,5.0,CANDIR-SELCUKLU (KONYA)
2023.08.01 18:16:14,2023-08-01 18:16:14,37.9173,36.242,2.0,14.9,AKSAAGAC-SAIMBEYLI (ADANA)
2023.08.01 18:17:55,2023-08-01 18:17:55,38.057,32.6203,2.0,6.7,SARICALAR-SELCUKLU (KONYA)
2023.08.01 18:21:43,2023-08-01 18:21:43,38.0785,32.6187,2.6,5.3,SARICALAR-SELCUKLU (KONYA)
2023.08.01 18:24:56,2023-08-01 18:24:56,38.4295,37.3452,1.9,5.0,GAZIKOY-DARENDE (MALATYA)
2023.08.01 18:28:33,2023-08-01 18:28:33,37.5913,35.8123,1.0,12.2,DUZAGAC-KOZAN (ADANA)
2023.08.01 18:33:49,2023-08-01 18:33:49,38.122,32.6367,1.8,5.6,CANDIR-SELCUKLU (KONYA)
2023.08.01 18:36:45,2023-08-01 18:36:45,38.3543,27.215,3.9,6.0,ZAFER-BUCA (IZMIR)
2023.08.01 18:42:54,2023-08-01 18:42:54,38.0323,32.6392,1.7,20.4,SARICALAR-SELCUKLU (KONYA)
2023.08.01 18:57:02,2023-08-01 18:57:02,38.0865,32.4042,1.4,23.1,SIZMA-SELCUKLU (KONYA)
2023.08.01 19:00:06,2023-08-01 19:00:06,38.0885,32.5115,1.1,23.4,CALTI-SELCUKLU (KONYA)
2023.08.01 19:14:24,2023-08-01 19:14:24,38.1397,37.1177,1.5,5.0,IGDE-ELBISTAN (KAHRAMANMARAS)
2023.08.01 19:24:13,2023-08-01 19:24:13,38.0857,32.5908,2.0,6.5,SARICALAR-SELCUKLU (KONYA)
2023.08.01 19:25:53,2023-08-01 19:25:53,38.3437,27.239,1.9,5.4,ZAFER-BUCA (IZMIR)
2023.08.01 19:37:00,2023-08-01 19:37:00,37.8815,36.6142,1.8,12.0,TEKIR-(KAHRAMANMARAS)
